"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"Zeb1",0.758943046280489,-0.806451365600323,0.405581252253385,-0.880844794214212,0.757313282760558,-0.890435430833308,-0.0114549612591192,1.09743902629885,-0.889202628775704,-0.892693950217491,-0.889831765060998,1.15910199635801,1.88365056331585,0.526296763867544,-0.890668207651247,-0.258843469218579,1.3834112163097,-0.854879962833425,-0.885605429181563,-0.893725003091333,-0.890561895495427,-0.889614053253658,0.745095416890656,-0.88002498286485,-0.416741559123312,1.35260667384625,-0.893710640577965,-0.893761962999951,-0.890867001765603,1.55141722982645,-0.884509418383227,-0.885481209841485,-0.893738478290543,-0.892222651111589,-0.167453657597348,0.842548520666091,0.983925793029647,0.47429263135649,1.38892545390466,1.49042567937947,-0.893319068058607,-0.888487802816955,-0.885799616488148,-0.888422761566862,-0.893749274771046,1.10553818881982,2.04173342658689,0.822357564022322,1.42941240467944,0.773086872491305
"Snai1",0.58255383165728,0.796240637844228,0.941521746057123,-1.14345569634926,0.816671341002892,0.216633000030258,0.33524755982811,0.565098003519621,1.27514160397209,-0.656479451222159,-1.56656693247561,1.17602925435502,0.318672016979595,1.0029711831062,-0.986543364932153,0.917517712494716,0.786075260359728,-1.26230032866676,1.88869561653833,-1.0357726659296,0.650568047994201,0.219260313003039,-0.509449665604778,0.28974659177889,-0.887070998169385,-0.0451433111393397,-1.06838068529357,-1.23662364057844,-1.45499810506662,0.53402170309305,-1.65295320136344,0.821478369627177,-0.387323903194331,0.223112293205094,-1.03927626222499,1.09264969759458,0.607941424634163,0.15184148918194,1.77447766138698,1.04123838543451,-1.62758144641075,-1.51846905407832,-0.988677143686127,-1.13173854698289,-1.63391894023454,0.358877328564743,0.123174392517997,0.707165035228867,0.809839783616813,0.808262058995809
"Twist1",0.901784583545894,0.272473551095173,0.806024408323272,-1.24918954098141,1.12530171173543,-0.0931045478440423,0.691586591751748,0.425233748381753,0.145784345495023,0.695636012538375,-1.08840628095165,1.23776663206031,0.713815499685878,0.30415230111822,-1.68510902062234,1.07847412549718,0.595488514637412,-1.28857544934977,0.854963315154345,-1.65645698497291,1.26908831359707,-0.467990965115639,0.522818954537419,-0.744537588427216,-0.740842756162239,-0.0621255279761119,-1.62125512596598,-0.589003613322628,-1.73836730874717,0.532674005011383,-1.33446621585037,0.992502587897804,-0.0936152586232413,0.77532803586164,-1.25256252243422,0.756778507756612,0.102969134936892,0.428931175508096,0.699452950760684,0.933898431456715,-0.529450477134882,-1.25282820163632,-1.71233822930089,-0.865178847077778,-1.68244539099827,0.699581162617353,1.78820982295129,1.05883010895079,0.775314557973375,0.56298676265793
"Grhl2",-0.498078456440956,-0.135250350906913,-0.498110871504679,-0.498104449487633,-0.498134285380424,-0.496291182879582,0.543658663231881,-0.498055249922134,2.38832065585603,1.36120680443421,-0.498028362131339,-0.498118050449805,-0.46021621208636,-0.498122851299177,-0.497407523788129,0.234691813950406,-0.498083822117888,-0.497883971474171,2.25232607035641,1.49503999225475,2.44501799505481,-0.355731935134546,-0.498073452608089,-0.497726850723987,-0.491362816802748,-0.498128040589273,2.42459759871474,-0.495755255655844,-0.322199590204532,-0.497735312187879,-0.495199162000495,2.42443208204841,2.63217051063282,0.349774644301796,-0.498111181659486,-0.498121133217376,-0.497679007404765,-0.49811488256998,-0.498115810280849,-0.40231494648502,-0.497931935948082,-0.492683402184903,-0.497722732680994,-0.497804308455087,-0.497440524621787,-0.498119452651238,-0.497693769796954,-0.498130123152486,-0.477826548309688,-0.481629015640983
"Trp63",-0.530511917624673,-0.530204518092632,-0.530517697201584,-0.529983641483221,-0.530521636956581,-0.530448961690695,2.09242504538717,-0.530503203385667,1.90347621355704,2.42352634250913,-0.530512457381325,-0.530473948853185,0.223384531963932,-0.530494945668354,-0.530500288847344,2.22132105227854,-0.52987454743602,-0.530435105119438,2.37318543806716,1.19805225153287,1.63588707717394,-0.530518345018247,-0.530515267945364,-0.529800933749947,-0.529853992369703,-0.530521917973459,2.07316755164913,-0.530361656773941,-0.530233807541957,-0.530485843422151,-0.530522157740719,1.13852271218784,1.26809298600784,-0.530180313346219,-0.530518567916126,-0.530372139041376,-0.527742282004831,-0.530513938438607,-0.530518805194253,-0.517212165584731,-0.530519971024439,-0.530522853930184,-0.530524871699227,-0.530524747447732,-0.530404508637023,-0.530274880683119,-0.530490133271909,-0.530502070212828,1.58800053664735,-0.530422698253139
"Klf5",-0.429483900376693,-0.927901421879081,-1.00132443058605,0.171933624919613,-0.58614535925034,0.303340731277945,2.01954542064111,-0.787664443720661,2.36068990537808,0.763443478660016,-0.470046116365623,-0.50179656656726,1.88975536323964,-0.861222228560172,-0.818735700809164,1.51147735870574,-0.334250126711591,-0.716842424029085,1.76947784909042,1.10673796058459,1.38402715921065,-0.563999053122391,-0.932884571212605,-0.193730660186063,0.0347317933317818,-0.250655882555743,1.9889439104504,0.104087858425018,-0.411931771412642,0.166405101591051,-0.947935888719114,1.31365685285217,1.71057413389335,-0.851284507919448,-0.640909676002903,0.145019863614648,-0.427834717736904,-0.607889949784222,-0.866294789420464,-0.137526798813511,-0.848186313008673,-1.0297421688665,-0.829780435842817,-0.946839472322976,-1.00250029495987,-0.0587221703978006,-0.304794590802737,-0.878067964181415,1.50587229879848,-0.0827962685401765
"Cebpa",-0.554236492949516,-0.547679980530564,-0.554115392424233,-0.553728516269987,-0.550250290014818,-0.549205603121226,1.8523936861945,-0.539269922758042,2.49130775834353,1.41314386422161,-0.554345712249404,-0.553049646193818,0.299106837705645,-0.553532624119826,-0.544911305748365,2.11572782202594,-0.553596525309656,-0.501092519098225,1.84408846061113,1.25387378890106,1.78673453140193,-0.554285808229511,-0.554215468515854,-0.553985741157792,-0.552605783837781,-0.55344334975408,2.01284947474729,-0.551071257463718,-0.547251105147613,-0.552505346980574,-0.548839008673125,1.51107293661747,1.54357440597133,-0.54455490331701,-0.554393098241643,-0.553264638852783,-0.542374398342878,-0.519478880414234,-0.464501914026892,-0.553921328026521,-0.552944288308628,-0.55203734351675,-0.541379053453284,-0.548843952559173,-0.554121689752316,-0.107109342565395,-0.554304601336931,-0.554338845691801,2.2014198213841,-0.550507709171548
"Smad2",0.353023876384443,1.36958633510557,1.48340627862526,-1.24848067412875,1.21019635559573,0.707873885011882,0.759935052686299,-0.469385177673746,0.570634252880902,-1.49409086618678,-1.5577361961087,0.825264663040562,0.160080987965671,0.083317412075175,-0.798869775657543,1.22291211816132,0.704679717265444,-1.18306779982791,0.434933711475862,-1.21808251776768,0.69095974718462,0.0368467471000753,-0.181853586528066,0.71048312058322,-1.49888649287646,0.297718897019488,-0.273771151504384,-1.22897976873949,-0.0924231373956831,1.09553675434298,-1.30491458108966,0.745288011485253,-1.36741458254918,1.33281680660571,-1.64320546076049,1.1021820153167,0.349751016712443,0.446055511417487,1.0236320096772,0.770709593398325,-1.39296743729973,-1.26599304493103,-1.17732473952092,-0.978176231987911,-1.01060582386937,-0.0208873089372119,-0.221339217884292,1.53287410571685,1.3275900433202,0.280166547070319
"Cdh2",0.983466234248551,-0.440428350089623,1.79717175851225,-0.871594804535711,1.33301521873985,0.299437677688745,1.39255149184259,-0.594946415625843,-0.860394187259707,-0.870105164925762,-0.87080998157995,1.20292703697741,-0.588742911140537,0.837267846430489,-0.871669708075189,1.93409500898105,1.68564771427708,-0.870104432447717,-0.549043648064309,-0.871656308325642,1.16746685206383,-0.84969871059437,-0.67527575954649,-0.868099039944772,-0.868716019531273,-0.0495389265844525,-0.87163878078302,-0.871608422693194,-0.871490810337648,1.41338963962913,-0.871531899804999,-0.00130055591798768,-0.811141487235292,-0.0820000287910722,-0.871101785969834,1.05210689668688,-0.224983674084758,0.134234942490377,0.673029140697414,1.59691504115005,-0.871648881423976,-0.871671292953007,-0.870130409572694,-0.868021254769232,-0.871655188341392,0.170709791505361,-0.706885728749132,1.21107925271941,1.84519632913934,1.37792669591877
"Cdh11",1.28918508821732,-0.388548674124216,1.53833294757444,-0.874730290530916,1.06700762373062,-0.0376919176728641,1.52204136836769,0.320080477524089,-0.865067630313091,-0.826834923729775,-0.851263646694263,1.22992164450169,-0.212560509561338,0.363859496003115,-0.874372666573404,1.62795975831702,0.89209963694723,-0.859083920952183,-0.711799233444423,-0.865255388610752,-0.717542798305275,-0.827075937724622,-0.285825345042601,-0.776185301566386,-0.83987103342472,1.69027018628119,-0.874898101376851,-0.874910651894426,-0.862375783787954,1.62086271691451,-0.872954612766136,-0.524807397858284,-0.874903467613233,-0.372651190924143,-0.6719814102056,0.39817209359235,-0.0434797269395913,0.547837720795291,1.32696001035988,0.936974472341646,-0.864569715104553,-0.869327808890971,-0.8704475909585,-0.874346396129798,-0.87500843249368,0.484385447381145,-0.531068983705454,1.85769447288481,2.59078763677248,0.367007690413483
"Krt5",-0.350405074856656,-0.35020538874672,-0.350405079496635,-0.350343816799861,-0.350405077849586,-0.350403661802304,-0.334580856645099,-0.350405076742192,1.78597236894916,2.00828044093785,-0.35039219621412,-0.350405079748002,-0.345100901426626,-0.350402680128989,-0.35037871687008,-0.200962917125277,-0.35040481434734,-0.350397731087888,0.760451344970996,3.45991198732047,-0.326892370317493,-0.350394331118378,-0.350404625757647,-0.349409490722027,-0.350394086553571,-0.350405060776776,3.53741238505382,-0.350400861127852,-0.350383690997644,-0.350404393076307,-0.350380632436859,-0.312615056874221,3.40031491873681,-0.350346574684366,-0.123419866920633,-0.350405072596076,-0.350404806321768,-0.35040499826906,-0.350405020997337,-0.35040505345235,-0.350396960695892,-0.350165161051902,-0.345839184361037,-0.350371386086603,-0.35027137542448,-0.350387255466052,-0.350391846272013,-0.350405074438373,-0.350241577572682,-0.350398561712335
"Col3a1",1.23036945553324,-0.118382510443429,1.36447430594156,-0.883239489966801,0.887151325852157,-0.833549171387598,1.45863547498896,-0.176281532806236,-0.721512966399954,-0.881857202129292,-0.883054202084007,1.48125732701659,1.13025739023941,-0.757916012104245,-0.881959798393386,1.36521695863444,1.6332706670691,-0.883571201913831,0.00961930431191271,-0.883671983156093,-0.872052806218703,-0.871782454457773,-0.427845333028025,-0.874088175081043,-0.874830654579738,0.59059757260193,-0.883578589991592,-0.883693811930043,-0.88350089594444,1.52889306088731,-0.883517690765039,-0.441814742170119,-0.883398634277098,-0.21226556556356,-0.88364865957548,1.5648584799643,0.874084101351275,1.36453440350267,1.35290969345352,1.3858903277204,-0.883608836594748,-0.883490207852854,-0.883639243230613,-0.883180596141018,-0.883703498267563,-0.640941404463599,0.671397566801741,1.55649907453408,1.12640255463183,0.26325882588152
"Vim",1.36123343413633,-0.19208488205348,1.22171609906859,-0.881709093955226,0.987519209628419,-0.538179101659647,-0.173250927005053,0.313197674957482,-1.0020125485863,-0.977536557043428,-1.18369939275764,0.560982799731354,0.953482577112153,0.504359025062008,-1.00961032033514,0.239329551739236,0.807582318527486,-1.14790962946244,-0.0423608932591946,-1.18412075727621,-0.477818234802787,-1.10943042072846,1.26129702457409,0.515032360100375,-0.658907581790719,1.06257896400244,-0.67073560259036,-1.16621801131338,-1.15505962376688,2.76058975063351,-1.08781812430286,0.592875404184837,-1.17816521358877,-0.323954261443341,-0.443015321092955,0.690214661127829,0.981683724940674,1.06387829417248,1.15121148816931,0.873664526098676,-0.797030397632859,-1.17707390762618,-1.09223555798348,-1.17008371172508,-1.0655876039752,0.239541871418151,-0.0426046579616404,1.14490007227748,1.33498092576638,1.32636057828942
"Cdh1",-0.305484015581863,-0.30547048252785,-0.305106201161602,-0.305254093695983,-0.30548402674648,-0.3054587841684,-0.295385444117258,-0.305483978016265,0.859855430757308,1.65768698440509,-0.305407398482201,-0.305483977343745,-0.304927256352703,-0.305484026251724,-0.30538883467616,-0.304863417528339,-0.305483315844452,-0.305438527547446,-0.00789418505223922,4.81244400074355,-0.242572116153479,-0.305185350595816,-0.305484025958617,-0.305482574742547,-0.305339073080585,-0.305484020632754,3.27514431605449,-0.299157454586386,-0.302350282960864,-0.305484018972239,-0.305479753104964,-0.298477563146802,2.75182882201377,-0.305480326746635,-0.305483027684057,-0.30548402817818,-0.305480052627939,-0.305484028232582,-0.305480549338895,-0.305484013486098,-0.305445529320277,-0.30535688006771,-0.305482387972598,-0.305470069128969,-0.305474646553729,-0.305483998373104,-0.305484027202279,-0.305484029176814,-0.305423733683491,-0.305484027171084
"Epcam",-0.279881151690262,-0.279187627557629,-0.279881094936512,-0.278068450536156,-0.279881160483734,-0.279737893452123,-0.273884881598198,-0.279881052663125,0.521581670847475,-0.0315478896804518,-0.228584667456412,-0.279881121483877,-0.26982835693487,-0.279860590226377,-0.278359814598147,-0.27918837097714,-0.279881158795892,-0.279117400841849,-0.0480879806475559,4.66845119129302,-0.209399039159404,-0.273549789677385,-0.27958628817476,-0.279865554284758,-0.278856714066715,-0.279830559063823,2.62976138697536,-0.256913469119714,-0.272835622844919,-0.279866431422959,-0.268952330067738,0.0047751395857559,4.09246341253046,-0.2798643653147,-0.279876885429958,-0.279874508026471,-0.279880775505395,-0.279881156871591,-0.279881160468319,-0.279879257196829,-0.279021842426175,-0.279763042099417,-0.279432022751242,-0.276456837812342,-0.279426578636514,-0.279881048245301,-0.279881158565246,-0.279881142356085,-0.279873712543531,-0.279880844540455
"Esrp1",-0.433886343313341,-0.37967602963449,-0.446057816366033,-0.388480706055525,-0.440869318116606,-0.391914273516962,0.402634332542909,-0.426808161296641,-0.127735884786555,1.78518938874946,-0.298533855658768,-0.441598051465887,1.16740082558757,-0.445830685644441,-0.199698988549074,-0.00848297698772418,-0.446032236656106,-0.376403075903581,-0.00568799222812927,4.46851567527274,1.28385818101605,-0.325678315300073,-0.444678895827565,-0.446067268039271,-0.444768218615539,-0.145823191516424,0.798148245504328,0.564785586860088,0.117888033582722,-0.446065180674941,-0.410640525594977,-0.250576000055651,3.97695371505566,-0.436703267510001,-0.43315946543513,-0.438452013789259,-0.445132912111975,0.0334232536320612,-0.446093005137722,-0.445991676410366,-0.258616864177834,-0.395159884268622,-0.433009059028105,-0.439657486143509,-0.388900126927981,-0.356044978740006,-0.445093343021785,-0.446075401714865,-0.351638885114074,-0.267074876468037
