"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Zeb1",-0.884456545727337,0.641797974300497,1.99426197937391,0.771548173082226,-0.881801800200665,-0.884824952834905,-0.885482134567355,0.293952275822278,-0.885560237616654,1.6266235008657,1.58152006479772,-0.82740560315796,-0.885553017144196,-0.874096182573766,-0.885560418359077,-0.881135076943989,0.0728218683023948,1.99826594959131,1.42953928803408,0.235546131074331,-0.868422048777586,0.171033699287697,0.929724321939858,0.884138748486329,-0.8830306985247,-0.885169439425251,1.65450004562114,-0.824759233193555,0.845736967851023,-0.884818713604118,1.22483951930129,0.685010274791386,-0.878527464160105,0.562475311956493,-0.0442957381918735,-0.88555845714774,-0.797859533056559,-0.885382907075228,-0.885374928397907,-0.881031727657128,-0.884487694243696,-0.201703143299071,1.62099897627362,0.890663609845676,1.65035388071223,-0.882419702329111,-0.884908824020801,-0.885179195746425,1.77525138706695,0.479858571587374,-0.885228680216549,-0.882490594691292,-0.86249097893301,-0.8791749158409,1.4183346542714,1.52874674907543,0.799751492451665,-0.874772770836246,-0.883725438014715,1.3317523811712,-0.448505271398927,-0.78905234811611,-0.836384528304897,-0.865812744277937,-0.866194346705532,-0.884754065407853,-0.428804874811792,-0.87018819330586,-0.88554420879043,0.857476046658304,0.541810403434315,0.664927643874283,-0.88473326753091,1.31923714383115,-0.764278478720065,1.46622277908676,0.360146684577809,-0.857765348245285,-0.871253577695007,-0.109269951342159,1.11630546483918,-0.87780527155001,1.6017455805326,1.33510929337095,1.40257354202086,-0.852066178521578,0.457550702705876,-0.0112297143585064,1.69170146549745,-0.882097732768146,0.847380259808492,0.582532716152946,-0.882675835810952,1.20570619125937,-0.872539142311546,-0.879141279303543,-0.885119496016323,-0.875063970302825,1.09989636395531,-0.882401456435214
"Snai1",-0.0241787331156888,-0.0611071716330683,0.932287018105931,0.319154992016177,-1.2338309262439,-1.6921650270519,-1.43223484367567,-0.0307498234018377,-1.71842957795008,0.673010897300287,1.70172112925551,0.60813831544719,-1.56026238791759,-0.79531220066387,-1.56690190944713,0.0534951564668436,-0.162765508028033,1.18850477675887,0.929508365873037,0.735222101997965,0.741873311791673,0.367525690927007,1.08226106549112,-0.122698754500963,-1.07907974310604,-1.81292652611694,0.910060463544647,0.441789821242828,0.922858915541134,-1.75094753054835,0.106963217121918,0.531071623804486,1.12405016849997,0.519352895525962,-0.176158873512903,-0.432109733407009,-0.202541117968674,-1.58079610962828,-1.67571131250656,-1.16507804061479,-1.69479186734788,-0.659554523611805,0.688140008369111,0.603915630762881,0.403961640665478,1.72495590774636,-1.50059907658792,-0.211439733907663,0.717870879301202,0.102705571236353,-1.68816496384323,-1.78926195508649,0.88005550667069,0.291563796923472,0.499404409968499,0.811262986147292,-1.18105923498577,-0.715246640609266,-0.787069607833974,0.548575779162198,-0.0179977568817179,0.610404842663279,-1.09918661306784,1.07301095580822,-1.1950302642802,-0.635021482101432,-0.922677928509692,1.22867222814253,-1.30094333754142,0.725190173576836,-1.38062556293511,1.56415804130255,-1.28343166765377,0.954593515231879,-0.355189845289353,0.451969533636509,0.246182222814231,0.335978457732909,0.683041001793993,1.06632562307509,0.971820379034139,0.260986077904735,0.407623412552833,0.180252306025853,0.324675189028169,2.1762285411696,0.731254690967353,1.50866496772953,0.841317503071591,0.649633323090152,0.795140999283433,-0.316949647589411,-1.16927396036097,1.02215275880187,-0.399159673944347,0.196864966122064,-1.52658324645848,0.296891000766442,1.32946191184848,0.311487774626632
"Twist1",-0.59858222659843,-0.902597765133656,1.15230958701827,0.865886958165037,-0.414308114715877,-1.46902212343177,-1.55869616958935,-0.286202972848117,-1.58349601211863,0.817957939271574,1.36264441823062,0.495750486592218,-1.3793668665524,-0.828775709745326,-0.72949143701669,0.896256831742863,0.125665356828136,0.317279555230508,0.851669065465798,-0.270371846089979,0.622617967878309,0.013357336854403,0.467357152792936,1.32760940857925,-1.25898350356567,-1.46925988330168,0.729742236510786,0.649323307930833,0.180269747883642,-1.6420317048044,0.10110735640176,0.847494162223229,0.772276054098161,1.10199097662401,0.162106136419353,-0.718438428056883,0.638576441724513,-1.40863981759647,-1.49311067945074,0.350597192901329,-1.66729905565781,-0.834185389113023,0.653168936843355,0.791129842373735,0.795825989217221,2.00243426020386,-1.44967114892357,-0.720776637428523,-0.466029386843309,-0.160019074953671,-1.44770985209787,-1.17162298323694,0.581393439048484,1.29473011828474,0.819868677337436,0.965185776533474,-1.75587947747952,-0.787779265710999,-1.77775039884354,0.658363402341758,-1.00999919779089,1.40288494995862,-0.810387160592065,-0.00877951197308943,-1.72576037520476,-0.76917182013712,-0.771502513304278,0.735098480384385,-1.26430741057491,-0.0409684925597067,-1.10106815131267,1.31317891924153,-1.36676107895046,0.96552366419939,-0.59818380085216,0.81787113324461,-0.0509079858489428,0.950432316649122,0.858293651864238,0.466190962925402,1.24716107617662,0.473118510892974,1.59197562411804,1.0239493095138,0.527776796371106,0.72084736171485,0.696394610229117,1.15556832536254,1.14471968325297,-0.505323308191765,0.362065351414568,1.54328745698199,-1.41531495967748,0.610197369112828,-0.781138437719545,0.424019875458739,-1.30320937686208,-0.0585593982589824,0.318181211050847,1.07075815104585
"Grhl2",1.76497387928543,-0.58252789571479,-0.58327841606293,-0.583251945256426,-0.535844420097905,-0.579614831659136,1.77488562861742,-0.583228072262183,1.90782474572032,-0.583280659911943,-0.582944615348331,-0.547761587607171,2.07586522653149,-0.583077690276262,1.31378868484705,0.359014086505486,-0.58272847340288,-0.581954955174497,-0.582384147738608,-0.582947509962879,1.55229776941275,-0.583209622753557,-0.582032784148252,-0.583112140589656,-0.581397117278818,2.71106711824913,-0.583162166785579,1.48404395641918,-0.583264804676022,-0.581932543394322,-0.58325011685084,-0.583132727695311,0.889111763465059,-0.581654831859772,-0.581805061319344,2.44693151790589,-0.581465150636716,1.15672150434467,-0.582872007440966,2.14416053664068,-0.583083448215349,-0.583210257952955,-0.582557725014144,-0.582170900824674,-0.583208244240121,2.08883535988223,1.66710553643965,-0.583253842552859,-0.583273551162185,-0.582987375072549,-0.582668088447639,-0.580741432770912,-0.138568101604576,1.60110852342483,-0.583279139062318,-0.580759897650684,-0.583237380989522,-0.16539174935948,-0.582667799373175,-0.583280102111511,-0.583023302471824,-0.581831733134941,-0.510660069383704,1.43405924043876,-0.582885982877716,1.69833784559062,-0.58298648797498,-0.566772457711019,-0.583024771690148,-0.583102794657331,-0.583206228804308,-0.582998825913564,-0.583115254610957,-0.583280782713427,-0.583237403634574,-0.583276151903808,-0.583274194829612,2.01255721222452,1.71909193159895,0.600605979963076,-0.583243164310004,1.81733443888477,-0.583278010589173,-0.581189849519804,-0.583258986419207,-0.578585355414628,-0.583250135283346,1.0275695928381,-0.583248256440693,-0.49280082065345,-0.582804940313405,-0.583071944137296,-0.583037764162646,-0.582359601525254,-0.581623495647291,1.22858168077167,-0.582224831795445,1.67871506616959,-0.575734121315914,1.83325422597791
"Trp63",1.25701892629582,-0.606155905178932,-0.606044087830756,-0.606037326137569,-0.57712540174161,-0.606156500711057,1.80994552493474,-0.600737886078682,1.41767204158831,-0.60607526780509,-0.606115198004903,1.13485787671725,1.65159906298471,-0.60614157051278,1.81439797074734,-0.597464624125606,-0.606152306055047,-0.605870989595168,-0.605996800540748,-0.605604682413626,1.14360599708284,-0.602773320283095,-0.606139355542608,-0.605116428551799,-0.606149901911975,2.05560173181709,-0.606137296006831,1.78463260692543,-0.605922034719414,-0.606041620908869,-0.606057982981696,-0.606154891035206,1.42371582124661,-0.605872177810085,-0.606106492339308,1.88015413197654,-0.606109461785392,2.51503306157124,-0.606157288479754,1.03866761542759,-0.60613243499859,-0.606148758377629,-0.606114322323282,-0.60614317496895,-0.606158437591479,1.44668617323455,1.32515581527613,-0.606033299717368,-0.606156116936645,-0.606144385510093,-0.606151799167455,-0.603785582156515,-0.606134688825736,1.71849626810044,-0.60602173106363,-0.260689729251776,-0.606157005027459,-0.606104906469213,-0.604634516228665,-0.606045296026596,-0.606072480397041,-0.606156072591983,-0.606133602743192,1.18604112862479,-0.606029444605919,1.47294410423016,-0.606152422892888,-0.604695910229791,-0.606153004271096,-0.606098079998531,-0.606146177463184,-0.606157238159403,-0.60263303594481,-0.606156101421789,-0.605958332826621,-0.606156494951425,-0.606114387348539,1.58691531439487,1.68672563377867,1.70717570922899,-0.606152767851431,2.45651220242844,-0.605842407331774,0.436101637890098,-0.605971863268808,-0.606148900058951,-0.606143633205017,1.41686543195564,-0.606156428152568,-0.604997105014585,-0.60615444467564,-0.606128406683051,-0.60613829145074,-0.606152959417586,-0.605963590920711,1.64233767135544,-0.606133084346224,2.04753962099501,0.416336029350522,1.76333454179272
"Klf5",1.63546743750424,-0.470936829217434,-0.972403843261473,-0.342084195414623,-0.885517833260646,-1.18155292018274,1.56009235903935,0.214133609206841,2.19686301740525,-1.08320731645809,0.945089425686167,1.33198869064632,1.87014752569302,-1.14060803839996,1.264304791977,-0.643375495158453,-1.11916365644449,-0.0467119355620755,-0.986800929947472,0.0916632674208584,0.893748143913617,0.685635112381477,-0.857719305606883,-0.495753284829982,-1.12339957556556,1.77865239439189,-0.967725499537175,1.21905862955379,-1.04234576553406,-0.811649569030831,-0.0429577351369491,-1.01994378040676,1.53204298476635,-0.365583483560472,-0.735514179829228,1.30018369367416,-0.306784107979569,1.03291616623706,-0.918019951031716,1.98955289953109,-0.865071996403295,-0.922757211871422,0.30169252092777,0.466695879565275,-0.894124507981324,1.4778206584976,1.65498905747893,-0.225215359348388,-0.990348350309274,-0.411870340303623,-0.736626655869928,0.0662366651469476,-1.15010575004508,1.05905341555309,-0.855795533255967,0.640736756391476,-0.129425778728381,-1.09633816271231,-0.569661408837414,-0.532410837720501,-0.722683118795554,-0.553686548224907,-0.288142335178869,0.607158877153942,-0.3613785649432,1.79994191358154,-0.80103469851967,-1.21848897434339,-0.529649790781177,-0.400744852173545,-0.53454526446649,-0.490839071849153,-0.587261390187775,-0.857624536718846,-1.0624626896417,-0.778841247562456,-0.68348128931899,1.11138313439533,1.29493857727167,1.53431804029549,-0.888227003295179,1.39113073146836,-0.518436454033285,1.62019329095817,-0.993546236618888,-0.789194960605148,-0.262865426039252,1.56074667280236,-0.643246194310503,0.290108493733203,-0.677216825967207,-0.593421604138819,-0.622994999870427,-0.73000878400785,-0.165914877614183,1.6542290318526,0.150211581734928,0.749914997127137,1.38543222250616,1.33697619647957
"Cebpa",1.404757958023,-0.598363329058148,-0.603853606630384,-0.603943696155892,-0.602029991556135,-0.604064316516804,2.65767820091229,-0.600640679439668,2.72937702203137,-0.589892170987519,-0.60166267786976,1.44421900119374,1.85234523281015,-0.301361841961838,2.07637051268262,-0.572037387956607,-0.603989367857676,-0.59549914896849,-0.598902469831403,-0.603601453968307,1.42742578493055,-0.59299115512699,-0.570363841065429,-0.604222441347844,-0.493056736301294,1.50581509461605,-0.587776020196035,1.94457846187115,-0.596064919024396,-0.604433772357465,-0.603476533394719,-0.570255752618172,1.63980560446755,-0.603824904510424,-0.604194666106901,2.06475764433213,-0.603231224971552,0.213240024945,-0.603889239961725,1.60120823166926,-0.604284364472714,-0.604154261301545,-0.604430391091674,-0.604300347282629,-0.598147630748421,0.939559808752942,1.73864298547283,-0.598076922813733,-0.600175904826153,-0.604106259195674,-0.604054516605158,-0.595741044983441,-0.576024501907416,1.0129680746363,-0.603690286895504,-0.451015757902947,-0.591732428306166,-0.588844255365853,-0.604315790669928,-0.603236142046768,-0.600193230161634,-0.565539511746807,-0.383706038834421,1.68305177435256,-0.603476991870243,1.92210085121473,-0.600599851594351,-0.601323859507027,-0.603563622666892,-0.604381906807868,-0.604315074850041,-0.604078469566273,-0.598461873623815,-0.601626254953229,-0.604414024634139,-0.603188292084742,-0.599217086006203,1.41917680518103,1.39395115905769,1.41491262087328,-0.603933842028479,1.55445905818423,-0.580982164252716,0.276304276261341,-0.600153849696669,-0.604312119290768,-0.603574580786199,1.69243790237817,-0.603456051410994,-0.533557743273773,-0.603633228989083,-0.598439074930495,-0.588147479902457,-0.599828010224774,-0.596508256021482,1.26350274080583,-0.604417157279981,2.02024311498933,0.0899785433961164,1.27011530911163
